age,lx,mlx,flx,white_lx,white_mlx,white_flx,non_white_lx,non_white_mlx,non_white_flx,black_lx,black_mlx,black_flx
0  ,"100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000"
1  ,"99,165","99,077","99,258","99,319","99,245","99,397","98,595","98,446","98,750","98,352","98,173","98,536"
2  ,"99,102","99,005","99,205","99,264","99,182","99,351","98,501","98,338","98,671","98,246","98,049","98,449"
3  ,"99,055","98,953","99,163","99,224","99,137","99,316","98,431","98,262","98,606","98,166","97,962","98,376"
4  ,"99,019","98,915","99,130","99,193","99,103","99,288","98,377","98,206","98,552","98,104","97,899","98,315"
5  ,"98,989","98,884","99,102","99,168","99,076","99,265","98,333","98,162","98,508","98,054","97,849","98,265"
6  ,"98,963","98,857","99,079","99,146","99,052","99,245","98,295","98,124","98,471","98,012","97,806","98,223"
7  ,"98,940","98,831","99,058","99,125","99,029","99,227","98,262","98,089","98,440","97,975","97,768","98,188"
8  ,"98,919","98,807","99,040","99,106","99,007","99,211","98,233","98,057","98,414","97,943","97,734","98,158"
9  ,"98,900","98,786","99,023","99,089","98,987","99,196","98,208","99,030","98,391","97,915","97,705","98,131"
10  ,"98,884","98,768","99,008","99,074","98,970","99,182","98,187","98,010","98,370","97,892","97,684","98,107"
11  ,"98,870","98,753","98,994","99,060","98,955","99,170","98,170","97,995","98,350","97,872","97,668","98,084"
12  ,"98,855","98,738","98,980","99,046","98,940","99,157","98,152","97,980","99,330","97,652","97,651","98,061"
13  ,"98,835","98,715","98,963","99,027","98,918","99,142","98,127","97,953","98,308","97,824","97,620","98,037"
14  ,"98,804","98,676","98,942","98,999","98,882","99,122","98,087","97,899","98,282","97,779","97,559","98,009"
15  ,"98,759","98,614","98,914","98,958","98,827","99,095","98,026","97,808","98,252","97,710","97,456","97,976"
16  ,"98,697","98,527","98,879","98,902","98,751","99,060","97,941","97,676","98,216","97,614","97,306","97,937"
17  ,"98,620","98,416","98,837","98,832","98,655","99,017","97,833","97,505","98,174","97,493","97,111","97,892"
18  ,"98,530","98,286","98,789","98,752","98,543","98,970","97,706","97,302","98,125","97,349","96,878","97,840"
19  ,"98,433","98,144","98,739","98,666","98,423","98,922","97,565","97,076","98,070","97,187","96,615","97,761"
20  ,"98,333","97,997","98,689","98,579","98,299","99,875","97,413","96,834","98,010","97,011","96,330","97,715"
21  ,"98,231","97,844","98,640","98,492","98,171","98,830","97,251","96,577","97,943","96,820","96,023","97,641"
22  ,"98,126","97,685","98,591","98,403","98,039","98,787","97,078","96,305","97,870","96,615","95,693","97,558"
23  ,"98,018","97,522","98,541","98,313","97,904","98,744","96,898","96,023","97,791","96,399","95,349","97,467"
24  ,"97,908","97,357","98,489","98,221","97,767","98,701","96,713","95,737","97,706","96,177","95,000","97,368"
25  ,"97,797","97,191","98,435","98,128","97,628","98,656","96,525","95,453","97,615","95,952","94,653","97,262"
26  ,"97,684","97,025","98,378","98,033","97,487","98,609","95,338","95,173","97,518","95,726","94,311","97,147"
27  ,"97,570","96,858","98,318","97,936","97,345","98,560","95,149","94,895","97,414","95,497","93,972","97,024"
28  ,"97,452","96,687","98,255","97,836","97,199","98,508","95,955","94,614","97,303","95,263","93,629","96,892"
29  ,"97,329","96,509","98,188","97,731","97,045","98,453","95,753","94,323","97,186","95,018","93,273","96,751"
30  ,"97,198","96,319","98,117","97,619","96,880","98,395","95,540","94,015","97,061","94,758","92,895","96,600"
31  ,"97,059","96,117","98,042","97,499","96,703","98,334","95,314","93,689","96,929","94,481","92,494","96,439"
32  ,"96,912","95,903","97,963","97,371","96,515","98,269","95,076","93,345","96,789","94,188","92,070","96,267"
33  ,"96,757","95,678","97,879","97,236","96,317","98,199","94,825","92,984","96,639","93,878","91,623","96,083"
34  ,"96,594","95,443","97,789","97,094","96,110","98,125","94,559","92,606","96,478","93,550","91,155","95,884"
