"Notes"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"< 1 year"	"0"	"1999"	"1999"	12291	1852123	663.6
	"Female"	"F"	"< 1 year"	"0"	"2000"	"2000"	12317	1856631	663.4
	"Female"	"F"	"< 1 year"	"0"	"2001"	"2001"	12091	1962905	616.0
	"Female"	"F"	"< 1 year"	"0"	"2002"	"2002"	12317	1932939	637.2
	"Female"	"F"	"< 1 year"	"0"	"2003"	"2003"	12123	1942634	624.0
	"Female"	"F"	"< 1 year"	"0"	"2004"	"2004"	12218	1962216	622.7
	"Female"	"F"	"< 1 year"	"0"	"2005"	"2005"	12422	1956682	634.9
	"Female"	"F"	"< 1 year"	"0"	"2006"	"2006"	12547	1975919	635.0
	"Female"	"F"	"< 1 year"	"0"	"2007"	"2007"	12845	2027181	633.6
	"Female"	"F"	"< 1 year"	"0"	"2008"	"2008"	12390	2022889	612.5
	"Female"	"F"	"< 1 year"	"0"	"2009"	"2009"	11589	1959169	591.5
	"Female"	"F"	"< 1 year"	"0"	"2010"	"2010"	10884	1929877	564.0
	"Female"	"F"	"< 1 year"	"0"	"2011"	"2011"	10658	1952827	545.8
	"Female"	"F"	"< 1 year"	"0"	"2012"	"2012"	10490	1926339	544.6
	"Female"	"F"	"< 1 year"	"0"	"2013"	"2013"	10321	1925056	536.1
	"Female"	"F"	"< 1 year"	"0"	"2014"	"2014"	10329	1930493	535.0
	"Female"	"F"	"< 1 year"	"0"	"2015"	"2015"	10447	1942904	537.7
	"Female"	"F"	"< 1 year"	"0"	"2016"	"2016"	10294	1939667	530.7
"Total"	"Female"	"F"	"< 1 year"	"0"			208573	34998451	595.9
	"Female"	"F"	"1 year"	"1"	"1999"	"1999"	886	1849170	47.9
	"Female"	"F"	"1 year"	"1"	"2000"	"2000"	856	1867477	45.8
	"Female"	"F"	"1 year"	"1"	"2001"	"2001"	891	1882601	47.3
	"Female"	"F"	"1 year"	"1"	"2002"	"2002"	827	1960195	42.2
	"Female"	"F"	"1 year"	"1"	"2003"	"2003"	804	1926719	41.7
	"Female"	"F"	"1 year"	"1"	"2004"	"2004"	908	1932894	47.0
	"Female"	"F"	"1 year"	"1"	"2005"	"2005"	827	1950494	42.4
	"Female"	"F"	"1 year"	"1"	"2006"	"2006"	866	1942541	44.6
	"Female"	"F"	"1 year"	"1"	"2007"	"2007"	884	1958096	45.1
	"Female"	"F"	"1 year"	"1"	"2008"	"2008"	866	2005602	43.2
	"Female"	"F"	"1 year"	"1"	"2009"	"2009"	776	1997919	38.8
	"Female"	"F"	"1 year"	"1"	"2010"	"2010"	806	1947217	41.4
	"Female"	"F"	"1 year"	"1"	"2011"	"2011"	754	1941933	38.8
	"Female"	"F"	"1 year"	"1"	"2012"	"2012"	727	1946097	37.4
	"Female"	"F"	"1 year"	"1"	"2013"	"2013"	728	1933929	37.6
	"Female"	"F"	"1 year"	"1"	"2014"	"2014"	663	1938870	34.2
	"Female"	"F"	"1 year"	"1"	"2015"	"2015"	678	1939269	35.0
	"Female"	"F"	"1 year"	"1"	"2016"	"2016"	694	1953850	35.5
"Total"	"Female"	"F"	"1 year"	"1"			14441	34874873	41.4
	"Female"	"F"	"2 years"	"2"	"1999"	"1999"	579	1849556	31.3
	"Female"	"F"	"2 years"	"2"	"2000"	"2000"	571	1851456	30.8
	"Female"	"F"	"2 years"	"2"	"2001"	"2001"	556	1857181	29.9
	"Female"	"F"	"2 years"	"2"	"2002"	"2002"	531	1883190	28.2
	"Female"	"F"	"2 years"	"2"	"2003"	"2003"	585	1959311	29.9
	"Female"	"F"	"2 years"	"2"	"2004"	"2004"	524	1925324	27.2
	"Female"	"F"	"2 years"	"2"	"2005"	"2005"	506	1932337	26.2
	"Female"	"F"	"2 years"	"2"	"2006"	"2006"	549	1950420	28.1
	"Female"	"F"	"2 years"	"2"	"2007"	"2007"	513	1942309	26.4
	"Female"	"F"	"2 years"	"2"	"2008"	"2008"	490	1957878	25.0
	"Female"	"F"	"2 years"	"2"	"2009"	"2009"	502	2005270	25.0
	"Female"	"F"	"2 years"	"2"	"2010"	"2010"	444	2004731	22.1
	"Female"	"F"	"2 years"	"2"	"2011"	"2011"	444	1944761	22.8
	"Female"	"F"	"2 years"	"2"	"2012"	"2012"	459	1948274	23.6
	"Female"	"F"	"2 years"	"2"	"2013"	"2013"	426	1948680	21.9
	"Female"	"F"	"2 years"	"2"	"2014"	"2014"	425	1935270	22.0
	"Female"	"F"	"2 years"	"2"	"2015"	"2015"	442	1939979	22.8
	"Female"	"F"	"2 years"	"2"	"2016"	"2016"	474	1949132	24.3
"Total"	"Female"	"F"	"2 years"	"2"			9020	34785059	25.9
	"Female"	"F"	"3 years"	"3"	"1999"	"1999"	445	1868553	23.8
	"Female"	"F"	"3 years"	"3"	"2000"	"2000"	374	1873836	20.0
	"Female"	"F"	"3 years"	"3"	"2001"	"2001"	420	1857443	22.6
	"Female"	"F"	"3 years"	"3"	"2002"	"2002"	375	1859439	20.2
	"Female"	"F"	"3 years"	"3"	"2003"	"2003"	421	1885740	22.3
	"Female"	"F"	"3 years"	"3"	"2004"	"2004"	382	1962287	19.5
	"Female"	"F"	"3 years"	"3"	"2005"	"2005"	354	1930395	18.3
	"Female"	"F"	"3 years"	"3"	"2006"	"2006"	362	1939447	18.7
	"Female"	"F"	"3 years"	"3"	"2007"	"2007"	381	1958867	19.5
	"Female"	"F"	"3 years"	"3"	"2008"	"2008"	376	1952383	19.3
	"Female"	"F"	"3 years"	"3"	"2009"	"2009"	378	1969393	19.2
	"Female"	"F"	"3 years"	"3"	"2010"	"2010"	338	2014490	16.8
	"Female"	"F"	"3 years"	"3"	"2011"	"2011"	345	2007550	17.2
	"Female"	"F"	"3 years"	"3"	"2012"	"2012"	359	1949929	18.4
	"Female"	"F"	"3 years"	"3"	"2013"	"2013"	320	1953120	16.4
	"Female"	"F"	"3 years"	"3"	"2014"	"2014"	312	1956572	15.9
	"Female"	"F"	"3 years"	"3"	"2015"	"2015"	316	1943417	16.3
	"Female"	"F"	"3 years"	"3"	"2016"	"2016"	323	1947408	16.6
"Total"	"Female"	"F"	"3 years"	"3"			6581	34830269	18.9
	"Female"	"F"	"4 years"	"4"	"1999"	"1999"	364	1926335	18.9
	"Female"	"F"	"4 years"	"4"	"2000"	"2000"	354	1915665	18.5
	"Female"	"F"	"4 years"	"4"	"2001"	"2001"	341	1871311	18.2
	"Female"	"F"	"4 years"	"4"	"2002"	"2002"	319	1861887	17.1
	"Female"	"F"	"4 years"	"4"	"2003"	"2003"	329	1864923	17.6
	"Female"	"F"	"4 years"	"4"	"2004"	"2004"	322	1892670	17.0
	"Female"	"F"	"4 years"	"4"	"2005"	"2005"	304	1971897	15.4
	"Female"	"F"	"4 years"	"4"	"2006"	"2006"	313	1942684	16.1
	"Female"	"F"	"4 years"	"4"	"2007"	"2007"	291	1953816	14.9
	"Female"	"F"	"4 years"	"4"	"2008"	"2008"	305	1975431	15.4
	"Female"	"F"	"4 years"	"4"	"2009"	"2009"	299	1970678	15.2
	"Female"	"F"	"4 years"	"4"	"2010"	"2010"	268	1985620	13.5
	"Female"	"F"	"4 years"	"4"	"2011"	"2011"	298	2015487	14.8
	"Female"	"F"	"4 years"	"4"	"2012"	"2012"	278	2012570	13.8
	"Female"	"F"	"4 years"	"4"	"2013"	"2013"	271	1954885	13.9
	"Female"	"F"	"4 years"	"4"	"2014"	"2014"	258	1959950	13.2
	"Female"	"F"	"4 years"	"4"	"2015"	"2015"	248	1964111	12.6
	"Female"	"F"	"4 years"	"4"	"2016"	"2016"	298	1950127	15.3
"Total"	"Female"	"F"	"4 years"	"4"			5460	34990047	15.6
	"Female"	"F"	"5 years"	"5"	"1999"	"1999"	317	1950892	16.2
	"Female"	"F"	"5 years"	"5"	"2000"	"2000"	314	1934031	16.2
	"Female"	"F"	"5 years"	"5"	"2001"	"2001"	287	1909212	15.0
	"Female"	"F"	"5 years"	"5"	"2002"	"2002"	306	1876401	16.3
	"Female"	"F"	"5 years"	"5"	"2003"	"2003"	270	1867683	14.5
	"Female"	"F"	"5 years"	"5"	"2004"	"2004"	304	1871767	16.2
	"Female"	"F"	"5 years"	"5"	"2005"	"2005"	260	1901483	13.7
	"Female"	"F"	"5 years"	"5"	"2006"	"2006"	280	1982961	14.1
	"Female"	"F"	"5 years"	"5"	"2007"	"2007"	250	1955007	12.8
	"Female"	"F"	"5 years"	"5"	"2008"	"2008"	254	1968133	12.9
	"Female"	"F"	"5 years"	"5"	"2009"	"2009"	268	1991556	13.5
	"Female"	"F"	"5 years"	"5"	"2010"	"2010"	208	1984764	10.5
	"Female"	"F"	"5 years"	"5"	"2011"	"2011"	245	1998262	12.3
	"Female"	"F"	"5 years"	"5"	"2012"	"2012"	248	2020709	12.3
	"Female"	"F"	"5 years"	"5"	"2013"	"2013"	250	2017560	12.4
	"Female"	"F"	"5 years"	"5"	"2014"	"2014"	241	1961391	12.3
	"Female"	"F"	"5 years"	"5"	"2015"	"2015"	222	1967310	11.3
	"Female"	"F"	"5 years"	"5"	"2016"	"2016"	256	1970381	13.0
"Total"	"Female"	"F"	"5 years"	"5"			4780	35129503	13.6
	"Female"	"F"	"6 years"	"6"	"1999"	"1999"	312	1970698	15.8
	"Female"	"F"	"6 years"	"6"	"2000"	"2000"	273	1961488	13.9
	"Female"	"F"	"6 years"	"6"	"2001"	"2001"	282	1937940	14.6
	"Female"	"F"	"6 years"	"6"	"2002"	"2002"	243	1911028	12.7
